tmdb_id,title,list_id,list_name,my_rating,release_year,watch_dates,added_at
1554,Down by Law,watched,Watched,8.0,1986,2026-08-15,2026-08-19T19:36:21.000Z
670,Oldboy,watched,Watched,8.0,2003,2026-07-31;2026-08-16;2026-08-20,2026-08-19T19:36:21.000Z
6396,SLC Punk,watched,Watched,7.4,1998,,2026-07-13T01:36:48.000Z
141,Donnie Darko,watched,Watched,9.1,2001,,2026-08-19T19:36:21.000Z
5925,The Great Escape,watched,Watched,10,1963,2012-06-19;2020-12-20,2026-08-18T01:18:05.000Z
14337,Primer,watched,Watched,7.5,2004,,2026-07-16T01:36:48.000Z
8337,They Live,watched,Watched,8.3,1988,,2026-07-17T01:36:48.000Z
8852,Prince of Darkness,watched,Watched,6.2,1987,,2026-07-18T01:36:48.000Z
1946,eXistenZ,watched,Watched,5.9,1999,2023-02-22,2026-07-19T01:36:48.000Z
9538,Scanners,watched,Watched,5.5,1981,,2026-07-20T01:36:48.000Z
837,Videodrome,watched,Watched,6.0,1983,2020-12-03,2026-08-21T02:43:24.000Z
59678,Attack the Block,watched,Watched,7.2,2011,,2026-07-22T01:36:48.000Z
49049,Dredd,watched,Watched,7.1,2012,2013-11-22,2026-07-23T01:36:48.000Z
8769,Christine,watched,Watched,6.7,1983,2021-08-12,2026-07-24T01:36:48.000Z
4538,The Darjeeling Limited,watched,Watched,7.3,2007,,2026-08-21T02:19:29.000Z
120467,The Grand Budapest Hotel,watched,Watched,8.4,2014,,2026-07-26T01:36:48.000Z
9693,Children of Men,watched,Watched,7.7,2006,2012-07-17,2026-07-27T01:36:48.000Z
2667,The Blair Witch Project,watched,Watched,7.1,1999,,2026-07-28T01:36:48.000Z
16307,The Wicker Man,watched,Watched,7.0,1973,2026-08-18,2026-08-19T19:36:21.000Z
389,12 Angry Men,watched,Watched,9.0,1957,2022-04-25,2026-07-30T01:36:48.000Z
1325734,The Drama,watched,Watched,7.3,2026,2026-08-03,2026-08-19T19:36:21.000Z
429200,Good Time,watched,Watched,7.9,2017,2019-07-13,2026-08-01T01:36:48.000Z
10331,Night of the Living Dead,watched,Watched,7.5,1968,,2026-08-02T01:36:48.000Z
278,The Shawshank Redemption,watched,Watched,9.0,1994,,2026-08-19T01:18:05.000Z
7512,Idiocracy,watched,Watched,7.0,2006,,2026-08-04T01:36:48.000Z
496243,Parasite,watched,Watched,9.1,2019,,2026-08-19T19:36:21.000Z
1154538,Nirvanna the Band the Show the Movie,watched,Watched,8.0,2026,,2026-08-17T01:18:05.000Z
2493,The Princess Bride,watched,Watched,7.7,1987,,2026-08-07T01:36:48.000Z
913814,Brian and Charles,watched,Watched,6.9,2022,2022-09-22,2026-08-08T01:36:48.000Z
339405,Christine,watched,Watched,5.8,2016,2026-08-17,2026-08-19T19:36:21.000Z
938614,Late Night with the Devil,watched,Watched,7.1,2024,,2026-08-21T02:30:08.000Z
680,Pulp Fiction,watched,Watched,8.0,1994,2020-07-26,2026-08-10T01:41:36.000Z
273248,The Hateful Eight,watched,Watched,8.7,2015,2021-02-25,2026-08-21T02:34:23.000Z
2649,The Game,watched,Watched,7.9,1997,2020-11-29,2026-08-19T01:47:30.000Z
2322,Sneakers,watched,Watched,8.0,1992,,2026-08-19T01:47:40.000Z
1091,The Thing,watched,Watched,6.8,1982,2020-10-05,2026-08-19T02:01:17.000Z
6978,Big Trouble in Little China,watched,Watched,5.5,1986,,2026-08-19T02:10:23.000Z
110415,Snowpiercer,watched,Watched,7.8,2013,2019-04-19,2026-08-19T02:11:07.000Z
11423,Memories of Murder,watched,Watched,9.0,2003,2025-02-03,2026-08-19T03:25:58.000Z
68718,Django Unchained,watched,Watched,8.0,2012,2020-04-26,2026-08-19T03:36:28.000Z
16869,Inglourious Basterds,watched,Watched,8.3,2009,2020-04-27,2026-08-19T03:37:09.000Z
500,Reservoir Dogs,watched,Watched,7.6,1992,2021-02-24,2026-08-19T03:37:38.000Z
30018,Mother,watched,Watched,7.9,2009,,2026-08-19T11:17:45.000Z
376867,Moonlight,watched,Watched,7.9,2016,,2026-08-19T11:29:07.000Z
238,The Godfather,watched,Watched,8.1,1972,2020-03-31,2026-08-19T11:39:17.000Z
550,Fight Club,watched,Watched,8.8,1999,,2026-08-19T11:46:28.000Z
264660,Ex Machina,watched,Watched,8.5,2015,2018-06-24,2026-08-21T02:37:09.000Z
329865,Arrival,watched,Watched,8.4,2016,2021-06-17,2026-08-19T11:47:41.000Z
242582,Nightcrawler,watched,Watched,7.9,2014,2018-10-29,2026-08-19T19:36:21.000Z
9663,Starman,watched,Watched,5.2,1984,,2026-08-19T21:56:55.000Z
17473,The Room,watched,Watched,2.1,2003,,2026-08-19T22:41:52.000Z
13466,October Sky,watched,Watched,8.8,1999,,2026-08-19T22:43:25.000Z
443129,Reservoir Dogs,watched,Watched,6.7,1991,,2026-08-19T22:44:18.000Z
184,Jackie Brown,watched,Watched,5.8,1997,2013-03-10,2026-08-19T22:44:49.000Z
641,Requiem for a Dream,watched,Watched,8.6,2000,,2026-08-19T22:48:43.000Z
15067,"The Good, the Bad, the Weird",watched,Watched,6.8,2008,,2026-08-19T22:50:02.000Z
1422,The Departed,watched,Watched,9.1,2006,2019-04-13,2026-08-19T22:52:26.000Z
769,GoodFellas,watched,Watched,8.5,1990,,2026-08-19T22:52:58.000Z
592,The Conversation,watched,Watched,8.0,1974,,2026-08-17T01:41:36.000Z
281957,The Revenant,watched,Watched,6.4,2015,,2026-08-19T23:00:24.000Z
930564,Saltburn,watched,Watched,8.8,2023,2024-01-08,2026-08-19T23:22:01.000Z
170,28 Days Later,watched,Watched,8.6,2002,,2026-08-20T02:31:02.000Z
1562,28 Weeks Later,watched,Watched,6.2,2007,,2026-08-20T02:31:16.000Z
1100988,28 Years Later,watched,Watched,5.9,2025,,2026-08-20T02:31:36.000Z
1272837,28 Years Later: The Bone Temple,watched,Watched,6.7,2026,,2026-08-21T02:38:14.000Z
16614,Adventureland,watched,Watched,7.6,2009,,2026-08-20T02:32:40.000Z
73,American History X,watched,Watched,8.8,1998,2020-06-14,2026-08-20T02:33:16.000Z
10937,Barfly,watched,Watched,7.8,1987,,2026-08-20T02:33:40.000Z
45958,Biutiful,watched,Watched,9.0,2010,,2026-08-20T02:33:58.000Z
387,Das Boot,watched,Watched,9.4,1981,,2026-08-20T02:34:21.000Z
640,Catch Me If You Can,watched,Watched,9.0,2002,2021-03-13,2026-08-20T02:34:43.000Z
38,Eternal Sunshine of the Spotless Mind,watched,Watched,9.1,2004,2018-08-03,2026-08-20T02:35:31.000Z
11797,Fright Night,watched,Watched,7.4,1985,,2026-08-20T02:36:01.000Z
401,Garden State,watched,Watched,8.2,2004,,2026-08-20T02:36:38.000Z
1548,Ghost World,watched,Watched,6.0,2001,,2026-08-20T02:36:57.000Z
950396,The Gorge,watched,Watched,8.1,2025,2025-03-04,2026-08-20T02:38:58.000Z
324552,John Wick: Chapter 2,watched,Watched,8.9,2017,2023-02-18,2026-08-20T02:39:57.000Z
458156,John Wick: Chapter 3 - Parabellum,watched,Watched,7.9,2019,2023-02-19,2026-08-20T02:40:09.000Z
603692,John Wick: Chapter 4,watched,Watched,7.7,2023,,2026-08-21T02:38:45.000Z
100,"Lock, Stock and Two Smoking Barrels",watched,Watched,9.0,1998,2021-07-15;2023-01-19,2026-08-20T02:41:42.000Z
107,Snatch,watched,Watched,8.0,2000,2020-03-21,2026-08-20T02:42:59.000Z
13809,RocknRolla,watched,Watched,7.0,2008,2023-01-16,2026-08-20T02:43:59.000Z
1700,Misery,watched,Watched,6.7,1990,,2026-08-20T02:45:01.000Z
8193,Napoleon Dynamite,watched,Watched,9.5,2004,,2026-08-20T02:45:34.000Z
21531,Barking Dogs Never Bite,watched,Watched,6.0,2000,,2026-08-20T02:47:30.000Z
42188,Never Let Me Go,watched,Watched,8.1,2010,,2026-08-20T02:48:31.000Z
378,Raising Arizona,watched,Watched,6.1,1987,,2026-08-20T02:50:30.000Z
10851,Revolver,watched,Watched,6.9,2005,,2026-08-20T02:51:07.000Z
694,The Shining,watched,Watched,7.7,1980,,2026-08-20T02:51:53.000Z
334517,The Siege of Jadotville,watched,Watched,8.1,2016,2023-06-12,2026-08-20T02:52:19.000Z
15121,The Sound of Music,watched,Watched,9.5,1965,,2026-08-20T02:53:02.000Z
12101,Soylent Green,watched,Watched,6.6,1973,,2026-08-20T02:53:18.000Z
129,Spirited Away,watched,Watched,7.9,2001,2021-05-01,2026-08-20T02:53:33.000Z
103663,The Hunt,watched,Watched,9.0,2012,2015-02-15,2026-08-20T02:54:15.000Z
7345,There Will Be Blood,watched,Watched,9.4,2007,,2026-08-20T02:54:31.000Z
